Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Body,Gift Sets & Bundles,'15215008711036,'55151090565500,Oh My Cream,The Summer Pouch Carel x Oh My Cream,https://ohmycream.co.uk/collections/body-kits-giftsets/products/summer-pouch-carel-oh-my-cream?variant=55151090565500,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Troussedel__t__CarelxOMC__1.jpg?v=1747043352,"Complete list of ingredients

trousse 100% coton made in india

regenerating cleanser tata harper (taille voyage - 50 ml) hordeum vulgare leaf juice*, cetearyl alcohol, cetearyl olivate, propanediol, helianthus annuus (sunflower) seed oil*, prunus armeniaca (apricot) seed powder*, **citrus paradisi (grapefruit) oil, sorbitan olivate, lactobacillus/punica granatum fruit ferment extract, salix alba (willow) bark extract, sambucus nigra fruit extract, arnica montana (arnica) extract*, borago officinalis (borage) leaf extract*, calendula officinalis (calendula) flower extract*, medicago sativa (alfalfa) extract*, spiraea ulmaria (meadowsweet) extract*, olea europaea (olive) oil*, tocopherol, coco-glucoside, cetearyl glucoside, caprylyl glycol, kaolin (white clay), sclerotium gum, **citrus aurantium (bergamot) peel oil, cetyl palmitate, magnolia officinalis bark extract, sorbitan palmitate, glyceryl caprylate, aqua/water/eau, sodium phytate, ci 77491 (red iron oxide), alcohol, limonene, citral, linalool *ingrédients issus de l’agriculture biologique **aroma

mini featherlash lifting serum mascara goop beauty (taille voyage - 4,5gr) water/aqua/eau, glyceryl stearate, hydrogenated jojoba oil, stearic acid, copernicia cerifera (carnauba) cera, glycerin, pentylene glycol, acacia senegal (gum arabic) gum, oryza sativa (rice) bran wax, shorea robusta (shala) resin, oleic/linoleic/linolenic polyglycerides, octyldodecanol, aminomethyl propanol, tocopherol, biotinoyl tripeptide-1, isochrysis galbana extract, panthenol, biotin, hyaluronic acid, leuconostoc/radish root ferment filtrate, lactobacillus, xanthan gum, cocos nucifera (coconut) fruit extract, [iron oxides (ci 77499)].

huile démaquillante éclair patyka (taille voyage - 50 ml) 100% du total des ingrédients sont d'origine naturelle 94,9% du total des ingrédients sont issus de l'agriculture biologique

ingredients : helianthus annuus (sunflower) seed oil*, polyglyceryl-4 oleate, simmondsia chinensis (jojoba) seed oil*, apricot kernel oil polyglyceryl-6 esters, parfum (fragrance), tocopherol, limonene**

*ingrédients issus de l'agriculture biologique **transformé à partir d'ingrédients biologiques

moisturizing mask susanne kaufman (taille voyage - 15 ml) aqua (water), glycerin, caprylic/capric triglyceride, pentylene glycol, dicaprylyl ether, methyl glucose sesquistearate, squalane, octyldodecanol, c10-18 triglycerides, cetearyl alcohol, glyceryl stearate, hydrogenated coco-glycerides, prunus amygdalus dulcis (sweet almond) oil, alcohol, lecithin, euphorbia cerifera (candelilla wax) cera, tocopheryl acetate, inulin, sodium hyaluronate, viola tricolor extract, brassica oleracea italica (broccoli) seed oil, echium plantagineum seed oil, helianthus annuus (sunflower) seed oil, cardiospermum halicacabum flower/leaf/vine extract, saccharide isomerate, xanthan gum, triticum vulgare (wheat) gluten, sodium levulinate, sodium stearoyl glutamate, sodium anisate, carrageenan, potassium phosphate, citric acid, methylpropanediol, sodium citrate, caprylyl glycol, tocopherol, 1,2-hexanediol, benzoic acid, phenylpropanol, methyl benzoate, parfum.

sérum dive in acide hyaluronique torriden (taille voyage - 20 ml) aqua, butylene glycol, glycerin, dipropylene glycol, 1,2-hexanediol, pentylene glycol, sodium hyaluronate, ethylhexylglycerin, allantoin, betaine, hydrolyzed hyaluronic acid, panthenol, tromethamine, carbomer, malachite extract, polyglyceryl-10 laurate, propanediol, sodium hyaluronate crosspolymer, glyceryl acrylate/acrylic acid copolymer, hydrolyzed sodium hyaluronate, pvm/ma copolymer, sodium acetylated hyaluronate, cholesterol, madecassic acid, madecassoside, trehalose, xanthan gum, ceramide 3, portulaca oleracea extract, paeonia suffruticosa root extract, scutellaria baicalensis root extract, beta-glucan, hamamelis virginiana leaf extract

hand & body wash sauge romarin lavande l:a bruket (taille voyage - 50 ml) aqua (water), sodium lauryl sulfoacetate, glycerin, cocamidopropyl betaine, sodium lauroyl sarcosinate, sodium pca, parfum (mix of essential oils), sodium levulinate, rosmarinus officinalis (rosemary) leaf oil, caprylyl/capryl glycoside, sodium anisate, lavandula angustifolia (lavender) flower oil, polysorbate 20, citric acid, polyglyceryl- 6 oleate, sodium cocoyl glutamate, salvia sclarea (clary sage) oil, glyceryl caprylate, sodium surfactin and linalool, limonene (natural ingredients of essential oils).

fluide solaire spf50 oh my cream skincare (nouveauté) (taille réelle) aqua/water/eau, dicaprylyl carbonate, coco-caprylate, cocoglycerides , diethylamino hydroxybenzoyl hexyl benzoate, bis-ethylhexyloxyphenol methoxyphenyl triazine, ethylhexyl triazone, phenylbenzimidazole sulfonic acid, glyceryl stearate, oryza sativa (rice) starch, 1,2-heptanediol, propanediol, sodium stearoyl glutamate, sodium hyaluronate, bisabolol, brassica campestris sterols, cetylhydroxyproline palmitamide, tocopherol, stearic acid, hexyldecanol, microcrystalline cellulose, cellulose gum, xanthan gum, sodium hydroxide, citric acid, sodium gluconate, o-cymen-5-ol.

c.e.o afterglow vitamin c cream sunday riley (taille voyage - 15 gr) water/eau/aqua, dimethicone, neopentyl glycol diethylhexanoate, tetrahexyldecyl ascorbate, polyglycerin-6, propanediol, phenyl trimethicone, glycerin, hydroxyethyl acrylate/ sodium acryloyldimethyl taurate copolymer, sodium hyaluronate crosspolymer, ergothioneine, xanthophyll, allantoin, citrus aurantium amara (bitter orange) flower oil, sodium acryloyldimethyltaurate/vp crosspolymer, mannitol, pentylene glycol, isododecane, dimethicone crosspolymer, sodium phytate, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, benzotriazolyl dodecyl p-cresol, polymethylsilsesquioxane, ammonium acryloyldimethyltaurate/beheneth-25 methacrylate crosspolymer, carthamus tinctorius (safflower) seed oil, citrus aurantium dulcis (orange) peel oil, phenoxyethanol, caprylyl glycol, chlorphenesin, ethylhexylglycerin, citric acid, polysorbate 60, sorbitan isostearate.

liquid powder chromatic eye tint fresco ilia (taille réelle - 3,5ml) aqua/water/eau, mica, glycerin, silica, galactoarabinan, pentylene glycol, glyceryl caprylate, fructose, cellulose, kaolin, **aesculus hippocastanum (horse chestnut) extract, honokiol, tin oxide, potassium sorbate, citric acid. may contain (+/-): ci 77891 (titanium dioxide), ci 77491, ci 77492, ci 77499 (iron oxides), ci 77007 (ultramarines).

mist delight rudolph care (taille voyage - 30 ml) aloe barbadensis leaf extract* (aloe vera), aqua, calendula officinalis flower water* (pot marigold), glycerin**, zingiber officinale water (ginger), mel extract* (honey), saccharide isomerate, euterpe oleracea fruit extract (acai), sodium levulinate, parfum (natural), citric acid, sodium citrate, potassium sorbate, sodium benzoate *ingrédients issus de l'agriculture biologique **fabriqué à partir d'ingrédients biologiques

99% d'origine naturelle au total 79% du total des ingrédients sont issus de l'agriculture biologique

lip expert pro-collagen my blend (nouveauté) (taille voyage - 1,5 ml) octyldodecanol. diisostearyl malate. polyglyceryl-2 isostearate/dimer dilinoleate copolymer. cera alba/beeswax/cire d´abeille. helianthus annuus (sunflower) seed wax. silica. ethylcellulose. sorbitan caprylate. theobroma cacao (cocoa) seed butter. ethylhexyl palmitate. mica. tocopheryl acetate. tribehenin. ci 77891/titanium dioxide. ammonium glycyrrhizate. parfum/fragrance. theobroma cacao (cocoa) extract. sorbitan isostearate. lactic acid. ascorbyl palmitate. helianthus annuus (sunflower) seed oil. tocopherol. ci 77492/iron oxides. ci 15850/red 7 lake. palmitoyl tripeptide-1. [v4060a1]

brume démêlante cair (nouveauté) (taille voyage - 20 ml) oryza sativa (rice) bran water*, aqua (water), vitis vinifera (grape) fruit water*, erythritol, pentylene glycol, propanediol, behentrimonium chloride, cetearyl alcohol, phyllostachys bambusoides extract, acetum (vinegar), citric acid, glycerin, ethyl oleate, dipropylene glycol, parfum (fragrance), rubus idaeus (raspberry) seed oil, triolein, sodium

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.7,14
Body,Gift Sets & Bundles,'15195171914108,'55123969409404,Naturisimo,The Natural Sleep Starter Kit,https://ohmycream.co.uk/collections/body-kits-giftsets/products/natural-sleep-starter-kit?variant=55123969409404,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TheNaturalSleepStarterKit1.jpg?v=1745580616,"Complete list of ingredients

aromatherapy associates sleep mist aqua (water), glycerin, peg-40 hydrogenated castor oil, trideceth-9, vetiveria zizanoides (vetivert) root oil, pogostemon cablin (patchouli) leaf oil, citrus aurantium amara (bitter orange) leaf/twig oil, cananga odorata (ylang ylang) flower oil, linalool*, propylene glycol, fusanus spicatus (australian sandalwood) wood oil, sodium benzoate, citric acid, ormenis multicaulis (wild camomile) oil, potassium sorbate, farnesol*, benzyl alcohol*, benzy benzoate*, geraniol*, limonene* parfum (fragrance)**, benzyl salicylate*, isoeugenol*, citral*, anthemis nobilis (roman camomile) flower oil, eugenol*, benzyl cinnamate*.

*natural essential oil contents **natural plant extracts

aurelia london cell repair night oil runus amygdalus dulcis (sweet almond) oil, cannabis sativa (hemp) seed oil, triticum vulgare (wheat) germ oil, olea europaea (olive) fruit oil, schinziophyton rautanenii kernel (mongongo) oil, citrullus lanatus (watermelon) seed oil, punica granatum (pomegranate) seed oil, adansonia digitata (baobab) seed oil, kigelia africana fruit extract (kigelia africana), helianthus annuus (sunflower) seed oil, hibiscus sabdariffa flower extract, citrus aurantium dulcis (orange) flower oil, citrus nobilis (mandarin orange) peel oil, lavandula angustifolia (lavender) oil, rosa damascena flower oil, tocopherol, tocopheryl acetate, limonene*, linalool*, citronellol*, geraniol*, hydroxycitronellal*, citral* (*naturellement présent dans les huiles essentielles)

ren clean skincare glycol lactic radiance renewal mask aqua (water), glycerin, polysorbate 60, lecithin, lactic acid, vitis vinifera (grape) seed oil, ribes nigrum (black currant) seed oil, citrus limon (lemon) fruit extract, xanthan gum, vaccinium macrocarpon (cranberry) seed oil, maltodextrin, sodium lactate, carica papaya (papaya) fruit extract, ananas sativus (pineapple) fruit extract, glyceryl caprylate, passiflora edulis fruit extract, vitis vinifera (grape) fruit extract, parfum* (fragrance), citrus nobilis (mandarin orange) peel oil, citrus grandis (grapefruit) peel oil, citrus tangerina (tangerine) peel oil, citrus aurantium dulcis (orange) flower oil, alcohol denat., benzyl alcohol, phenoxyethanol, potassium sorbate, tocopherol, hippophae rhamnoides oil, helianthus annuus (sunflower) seed oil, rosmarinus officinalis (rosemary) leaf extract, sodium bisulfite, citral, geraniol, limonene, linalool* 100% natural fragrance - parfum 100% naturel

evolve nightly renew facial cream aqua (eau), isoamyl laurate, coco-caprylate/ caprate, glycerin, cetearyl alcohol, c10-18 triglycerides, candelilla/ jojoba/ rice son polyglyceryl-3 esters, glyceryl stearate, bidens pilosa extract, paeonia lactiflora root extract, sodium hyaluronate, poudre de jus de feuilles d'aloe barbadensis*, beurre de graines d'astrocaryum murumuru, huile de graines de gossypium herbaceum (coton), huile de graines de linum usitatissimum (graines de lin), huile de graines d'helianthus annuus (tournesol), stéarate de saccharose, lactylate de stéaroyle de sodium, cellulose microcristalline, lévulinate de sodium, cetearyl glucoside, déhydroacétate de sodium, parfum (parfum d'origine naturelle), gomme de cellulose, gomme xanthane, anisate de sodium, tocophérol, palmitate de saccharose, acide phytique, tréhalose, benzoate de sodium, sorbate de potassium, acide citrique, géraniol, limonène, linalol.

neom perfect night's sleep hand cream aqua (water, eau), cetearyl alcohol, helianthus annuus (sunflower) seed oil, butyrospermum parkii (shea) butter, glycerin, prunus amygdalus dulcis (sweet almond) oil, cera alba (beeswax), glyceryl stearate, sodium stearoyl glutamate, theobroma cacao (cocoa) seed butter, parfum (fragrance)*, olea europaea (olive) fruit oil, benzyl alcohol, linalool, linum usitatissimum (linseed) seed oil, sucrose stearate, xanthan gum, aloe barbadensis leaf juice powder, citric acid, limonene, dehydroacetic acid, tocopherol, citronellol, sodium phytate, geraniol, glycine soja (soybean) oil, benzyl benzoate, coumarin, citral, alcohol.*made with 100% natural essential oils including lavender, chamomile and patchouli.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,83
Body,Gift Sets & Bundles,'15195171783036,'55123969343868,Naturisimo,The Clean Teen Starter Kit,https://ohmycream.co.uk/collections/body-kits-giftsets/products/clean-teen-starter-kit?variant=55123969343868,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TheCleanTeenKit1.jpg?v=1745580664,"Complete list of ingredients

upcircle cleansing soap bar with cinnamon + ginger sodium cocoate**, aqua, glycerin**, coconut acid**, sodium citrate, illite, sodium chloride, zingiber officinale (ginger) root oil*, eugenol^, kaolin, illicium verum (star anise) fruit, cinnamomum zeylanicum (cinnamon) leaf oil*, cinnamomum verum bark, foeniculum vulgare (fennel) leaf, eugenia caryophyllus (clove) flower, pimenta officinalis (all spice) fruit, zingiber officinale root, elettaria cardamomum (green cardamom) seed, myristica fragrans (nutmeg) seed, vanilla planifolia (vanilla) fruit. *organically produced ingredient; **from organic origin; ^natural constituent of essential oils listed.

pai skincare phaze clariying cleanser aqua (water), decyl glucoside, cocamidopropyl betaine, lauryl glucoside, disodium cocoyl glutamate, glycerin**, caprylyl/capryl glucoside, inulin, sodium chloride, sodium levulinate, gluconolactone, glyceryl oleate, sorbitan caprylate, sodium anisate, saccharide isomerate, sodium phytate, fructose, citrus aurantifolia peel oil* (lime oil), boswellia neglecta resin oil* (frankincense oil), rosmarinus officinalis leaf oil* (rosemary oil), maltodextrin, sodium citrate, hydrolyzed gardenia florida extract (gardenia extract), gardenia florida fruit extract (gardenia extract), citric acid limonene (naturally occurring in essential oils / naturellement présent dans les huiles essentielles) of total: 98% natural origin sur total: 98% d'origine naturelle *organic ingredient / ingrédient biologique **made using organic ingredients

evolve true balance gel cream aqua (eau), cellulose, coco-caprylate/caprate, butyl avocadate, isoamyl laurate, glycérine, simmondsia chinensis (jojoba) seed oil*, cellulose microcristalline, glyceryl stearate, argania spinosa (argan) kernel oil*, parfum (parfum d'origine naturelle ), hyaluronate de sodium, extrait de cellules de feuilles de zingiber officinale (gingembre), extrait de graines de moringa pterygosperma, poudre de jus de feuilles d'aloe barbadensis*, stéarate de saccharose, gomme de xanthane, lévulinate de sodium, esters polyglycéryl-3 de son de candelilla/jojoba/riz, gomme de cellulose, sodium déhydroacétate, alcool cétéarylique, lactylate de stéaroyle de sodium, cocoate d'isoamyle, tocophérol, anisate de sodium, palmitate de saccharose, dextrine, gallate de propyle. *ingrédients issus de l'agriculture biologique **fabriqué à partir d'ingrédients biologiques'

balance me hyaluronic plumping mist aqua (water), glycerin, polyglyceryl-4 caprylate, hydrolyzed hyaluronic acid, citric acid, ananas sativus (pineapple) fruit extract, citrus aurantium (neroli) flower oil, rosa centifolia (rose absolute) flower oil, achillea millefolium (yarrow) leaf oil, nardostachys jatamansi (spikenard) root oil, anthemis nobilis (roman chamomile) flower oil, citrus aurantium bergamia (bergamot) fruit oil, pelargonium graveolens (rose geranium) flower oil, sodium dehydroacetate, potassium sorbate, dehydroacetic acid, benzyl alcohol, sodium hydroxide, limonene, linalool, geraniol, citronellol, citral, farnesol.

q+a hyaluronic body wash aqua (water), zea mays (corn) cob powder, glycerin, cetearyl alcohol, lactic acid, glyceryl stearate, helianthus annuus (sunflower) seed oil, caprylic/capric triglyceride, glycolic acid, hippophae rhamnoides (sea buckthorn) fruit oil. simmondsia chinensis (jojoba) seed oil, vitis vinifera (grape) seed oil, carbomer, sodium stearoyl glutamate, coco-glucoside, sodium gluconate, potassium sorbate, sodium benzoate, fragrance (parfum), coconut alcohol, sodium hydroxide, benzyl cinnamate, coumarin.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,21
Body,Gift Sets & Bundles,'8074090578092,'43850258088108,Talm,Paloma Skincare Routine Pouch,https://ohmycream.co.uk/collections/body-kits-giftsets/products/talm-paloma-skincare-routine-pouch?variant=43850258088108,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Talm_BaluchonPalomaRoutineVisage_Packshot.jpg?v=1728556179,"Complete list of ingredients

la crème face cream aqua (water), c10-18 triglycerides, c15-19 alkane, glycerin, myristyl myristate, hydrogenated vegetable oil, prunus amygdalus dulcis (sweet almond) oil*, argania spinosa kernel oil*, glyceryl stearate citrate, prunus armeniaca (apricot) kernel oil*, pentylene glycol, centaurea cyanus flower water*, sodium stearoyl glutamate, sodium hyaluronate, aloe barbadensis leaf juice powder*,glyceryl caprylate, xanthan gum, , citric acid, sodium benzoate, sodium phytate, tocopherol, potassium sorbate. *ingredients issus de l'agriculture biologique *ingredients from organic farming

mega oil helianthus annuus hybrid oil (helianthus annuus (sunflower) seed oil)*, prunus amygdalus dulcis (sweet almond) oil*, sesamum indicum (sesame) seed oil*, argania spinosa kernel oil*, helianthus annuus (sunflower) seed oil unsaponifiables*, undaria pinnatifida extract*, helianthus annuus (sunflower) seed oil, parfum (fragrance)**, caprylic/capric triglyceride, tocopherol. *ingredients from organic farming contains no essential oils or alcohol. safe for pregnancy and breastfeeding. **100% natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Gift Sets & Bundles,'8074263298220,'43850672242860,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/body-kits-giftsets/products/call-it-by-your-name-small-vanity?variant=43850672242860,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_vert_trefle_Packshot_reisze.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Gift Sets & Bundles,'8074263298220,'43850672210092,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/body-kits-giftsets/products/call-it-by-your-name-small-vanity?variant=43850672210092,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_bleu_coeur_Packshot_resize.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Gift Sets & Bundles,'8074263298220,'43850672275628,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/body-kits-giftsets/products/call-it-by-your-name-small-vanity?variant=43850672275628,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_rose_rainbow_Packshot_reisze.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Gift Sets & Bundles,'8074263298220,'43850672177324,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/body-kits-giftsets/products/call-it-by-your-name-small-vanity?variant=43850672177324,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_bordeaux_coeur_Packshot_resize.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Gift Sets & Bundles,'7903870419116,'43387622260908,Talm,The Pregnancy & Post-Partum Face Pouch,https://ohmycream.co.uk/collections/body-kits-giftsets/products/talm-the-pregnancy-post-partum-face-pouch?variant=43387622260908,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TROUSSE-TALM.jpg?v=1715086707,"Complete list of ingredients

mega oil : helianthus annuus hybrid oil (helianthus annuus (sunflower) seed oil)*, prunus amygdalus dulcis (sweet almond) oil*, sesamum indicum (sesame) seed oil*, argania spinosa kernel oil*, helianthus annuus (sunflower) seed oil unsaponifiables*, undaria pinnatifida extract*, helianthus annuus (sunflower) seed oil, parfum (fragrance)**, caprylic/capric triglyceride, tocopherol.

mega plump : aqua (water), propanediol, triethyl citrate, diglycerin, glycerin, fructooligosaccharides, sodium hyaluronate, beta vulgaris (beet) root extract, aloe barbadensis leaf juice powder*, citric acid, carrageenan, sodium phytate, potassium lactate, potassium sorbate, glucose, lactic acid, parfum (fragrance)**.

*ingrédients issus de l'agriculture biologique **parfum 100% naturel

these lists of ingredients are subject to change; please refer to the packagings of the purchased products.",'5.0,4
Body,Gift Sets & Bundles,'15190641869180,'55119633613180,Talm,The Pregnancy & Post-Partum Care Kit Balzac Paris x Talm,https://ohmycream.co.uk/collections/body-kits-giftsets/products/talm-pregnancy-post-partum-care-kit-balzac-paris?variant=55119633613180,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Troussedesoinsgrossesse_TalmxBalzac_Packshot.jpg?v=1747122700,"Complete list of ingredients

pochon balzac made in france.

ingrédients mega balm : aqua (water), prunus amygdalus dulcis (sweet almond) oil*, cetearyl alcohol, glycerin, butyrospermum parkii (shea) butter*, pentylene glycol, sesamum indicum (sesame) seed oil*, cetearyl glucoside, helianthus annuus (sunflower) seed oil, aloe barbadensis leaf juice powder*, parfum (fragrance), potassium sorbate, citric acid, sodium hydroxide, tocopherol.

ingrédients mega oil : helianthus annuus hybrid oil (helianthus annuus (sunflower) seed oil), prunus amygdalus dulcis (sweet almond) oil, sesamum indicum (sesame) seed oil*, argania spinosa kernel oil*, helianthus annuus (sunflower) seed oil unsaponifiables*, undaria pinnatifida extract*, helianthus annuus (sunflower) seed oil, parfum (fragrance)**, caprylic/capric triglyceride, tocopherol. *ingrédients issus de l’agriculture biologique sans huiles essentielles, sans alcool sécurité grossesse et allaitement **parfum 100% naturel

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
